train,Stations
d23,北京-蓟州-唐山北-盘锦北-沈阳北-四平东-长春西
d2373,南京南-合肥南-六安-麻城北-红安西-汉口-汉川-仙桃西-枝江北-宜昌东-恩施-利川-涪陵北-长寿北-重庆北-合川-潼南-遂宁-成都东
d2375,重庆北-石柱县-恩施-宜昌东-荆州-汉川-汉口-武汉-黄石北-大冶北-阳新-庐山-南昌西-抚州-南丰-建宁县北-泰宁-三明北-尤溪-永泰-莆田-泉州-厦门北-厦门
d2376,厦门-晋江-泉州-莆田-尤溪-三明北-南城-抚州-南昌西-共青城-枫林-阳新-黄石北-鄂州-武汉-汉口-天门南-潜江-荆州-宜昌东-恩施-利川-石柱县-涪陵北-重庆北
d2392,厦门-漳州-漳浦-潮汕-揭阳机场-揭阳-梅州西
d24,长春西-四平东-昌图西-铁岭西-沈阳北-葫芦岛北-唐山北-北京
d25,北京-唐山北-北戴河-山海关-葫芦岛北-锦州南-盘锦北-辽中-沈阳北-四平东-长春西-扶余北-哈尔滨西-宾州-方正-高楞-依兰-佳木斯
d2565,太原南-太谷西-祁县东-霍州东-临汾西-运城北-大荔-西安北-杨陵南-宝鸡南-天水南-通渭-兰州西
d2566,兰州西-天水南-宝鸡南-杨陵南-西安北-渭南北-运城北-闻喜西-襄汾西-临汾西-灵石东-平遥古城-太原南
d2567,太原南-太谷西-介休东-霍州东-侯马西-永济北-大荔-渭南北-西安北-杨陵南-宝鸡南-天水南-秦安-兰州西
d2568,兰州西-秦安-天水南-宝鸡南-杨陵南-西安北-渭南北-大荔-运城北-闻喜西-霍州东-介休东-太谷西-晋中-太原南
d26,佳木斯-依兰-高楞-方正-宾州-哈尔滨西-德惠西-公主岭南-开原西-沈阳北-盘锦北-锦州南-秦皇岛-北京
d2671,西安北-咸阳秦都-杨陵南-宝鸡南-天水南-定西北-兰州西-西宁-民乐-张掖西-高台南-酒泉南-嘉峪关南
d2672,嘉峪关南-酒泉南-高台南-张掖西-民乐-西宁-兰州西-定西北-秦安-天水南-东岔-宝鸡南-杨陵南-西安北
d2685,西安北-兰州西-西宁
d2692,西宁-兰州西-天水南-宝鸡南-岐山-咸阳秦都-西安北
